,SummonerName,GamesPlayed,AvgGameTime,WinRate,AvgKills,AvgDeaths,AvgAssists,AvgTowers,AvgInhibs,AvgBarons,AvgDrags,AvgVisionScore,AvgDamageDealt,FirstTowerRate,AvgCS,FirstBloodRate,AvgGoldEarned,AvgDamageTaken,AvgKillGold,AvgAssistGold,AvgTowerGold,AvgInhibGold,AvgDragGold,AvgHeraldGold,AvgBaronGold,AvgCSGold,AvgKillGoldDiff,AvgAssistGoldDiff,AvgTowerGoldDiff,AvgInhibGoldDiff,AvgDragGoldDiff,AvgHeraldGoldDiff,AvgCSGoldDiff,AvgTotalGoldDiff,AvgDamageDealtDiff,AvgVisionDiff,AvgCSDiff,AvgCSPerMin,AvgPowerScore
10, Sudzzi,165,28.342020202020198,52.73%,5.539393939393939,4.109090909090909,7.096969696969697,1.2787878787878788,0.15757575757575756,0.5393939393939394,1.2969696969696969,19.957575757575757,169575.47272727272,0.14%,209.0,0.11%,11827.09090909091,16814.27878787879,1624.2242424242424,463.4297979797979,379.9646464646465,7.878787878787879,11.363636363636363,0.0,161.8181818181818,9178.411616161618,75.55757575757576,39.2,103.24747474747477,-3.9393939393939394,5.757575757575758,-1.2121212121212122,204.22525252525264,444.6545454545454,19477.27878787879,-5.454545454545454,18.96969696969697,7.408584674536109,-1.4241046595699427
11,Isaac Marconis,162,28.505658436213988,59.88%,6.901234567901234,4.067901234567901,7.530864197530864,0.8765432098765432,0.19753086419753085,0.6049382716049383,1.4444444444444444,33.45679012345679,147481.5987654321,0.04%,205.14197530864197,0.09%,12487.537037037036,18167.617283950618,1930.0061728395062,561.0313786008231,343.261316872428,9.876543209876543,11.728395061728396,1.2345679012345678,181.4814814814815,9448.917181069959,458.34567901234567,90.11831275720164,102.66460905349793,5.864197530864198,5.246913580246914,0.6172839506172839,380.9269547325102,1090.0802469135801,11103.586419753086,8.376543209876543,11.154320987654321,7.26932942797207,-0.6119917273316988
12,Game1234,156,27.609722222222224,59.62%,6.166666666666667,4.916666666666667,6.846153846153846,0.9935897435897436,0.1858974358974359,0.5641025641025641,1.5064102564102564,27.557692307692307,157247.73076923078,0.03%,180.10256410256412,0.18%,11754.846153846154,19156.108974358973,1773.3846153846155,454.80021367521374,363.3974358974359,9.294871794871796,7.532051282051282,2.5641025641025643,169.23076923076923,8974.642094017094,141.87179487179486,-7.912927350427338,88.26388888888891,2.5641025641025643,0.16025641025641027,-0.6410256410256411,364.61057692307685,613.9166666666666,-11620.365384615385,2.7564102564102564,-6.794871794871795,6.535341796772011,-0.7232991407336129
13,Yassuo,152,27.153399122807016,44.08%,5.631578947368421,6.217105263157895,6.105263157894737,0.7236842105263158,0.17763157894736842,0.5657894736842105,1.1710526315789473,27.414473684210527,140434.3947368421,0.03%,186.69736842105263,0.11%,11270.730263157895,19530.592105263157,1661.342105263158,416.7094298245614,262.30263157894734,8.881578947368421,9.046052631578947,4.605263157894737,169.73684210526315,8738.106359649124,-36.328947368421055,-115.34923245614034,-17.428728070175445,3.289473684210526,3.125,3.9473684210526314,175.95559210526307,42.86842105263158,4863.111842105263,3.1710526315789473,8.927631578947368,6.863447566449526,-2.047809282842955
14,Chapanya,148,27.659572072072073,48.65%,6.918918918918919,4.966216216216216,6.702702702702703,0.668918918918919,0.12162162162162163,0.5337837837837838,1.2972972972972974,28.972972972972972,130182.70945945945,0.08%,178.88513513513513,0.10%,11729.351351351352,17771.952702702703,2029.4256756756756,481.37668918918916,275.15202702702703,6.081081081081081,14.02027027027027,0.6756756756756757,160.13513513513513,8762.484797297297,512.0405405405405,-31.8293918918919,-30.073198198198195,-1.6891891891891893,4.391891891891892,0.0,-254.53659909909902,234.79054054054055,-110.78378378378379,2.7837837837837838,-14.236486486486486,6.503823584606098,-1.4528469005464304
15,godrjsdnd,139,27.693764988009594,47.48%,5.338129496402877,5.338129496402877,6.330935251798561,0.7841726618705036,0.2446043165467626,0.5323741007194245,1.0935251798561152,24.057553956834532,134534.55395683454,0.09%,192.3021582733813,0.10%,11322.928057553956,19606.93525179856,1592.5035971223022,428.2547961630695,272.33812949640287,12.23021582733813,7.553956834532374,1.4388489208633093,159.71223021582733,8848.896282973623,-100.38129496402878,-51.84052757793764,-19.502398081534775,2.5179856115107913,0.7194244604316546,0.7194244604316546,-112.14628297362108,-262.6474820143885,312.2086330935252,-0.8345323741007195,0.02877697841726619,6.982169353387297,-2.116421121042774
16,LL Stylish,137,28.171167883211677,51.82%,7.248175182481752,4.788321167883212,4.635036496350365,1.0218978102189782,0.10218978102189781,0.48175182481751827,1.2408759124087592,22.861313868613138,148538.49635036496,0.06%,218.56204379562044,0.08%,12455.321167883212,17959.912408759123,2086.7518248175184,330.37652068126516,362.8710462287105,5.109489051094891,4.37956204379562,0.7299270072992701,144.52554744525548,9520.577250608274,547.6277372262774,-88.58941605839416,83.54014598540147,-2.5547445255474455,-8.75912408759124,-0.7299270072992701,781.1879562043796,1305.153284671533,6927.63503649635,-0.16058394160583941,33.14598540145985,7.719569425814804,-1.2774324850559686
17,Arcsecond,135,28.104074074074074,44.44%,6.340740740740741,4.288888888888889,5.266666666666667,0.8074074074074075,0.16296296296296298,0.4666666666666667,1.237037037037037,22.348148148148148,151081.64444444445,0.01%,212.76296296296297,0.07%,11946.6,19810.37037037037,1860.1555555555556,358.6962962962963,267.32716049382714,8.148148148148149,12.592592592592593,1.4814814814814814,140.0,9298.198765432098,291.5777777777778,-121.12098765432097,-60.58641975308641,-4.074074074074074,4.814814814814815,1.4814814814814814,43.21851851851858,119.75555555555556,-18976.555555555555,-1.4148148148148147,8.948148148148148,7.586424225728533,-2.309904604127761
18,Linsanity,134,27.345771144278604,50.00%,6.32089552238806,4.567164179104478,6.514925373134329,0.7761194029850746,0.08955223880597014,0.5223880597014925,1.0820895522388059,29.611940298507463,184434.9552238806,0.05%,210.3507462686567,0.08%,12019.335820895523,18718.328358208953,1811.0,465.8240049751244,319.86318407960204,4.477611940298507,4.291044776119403,0.746268656716418,156.71641791044777,9256.417288557215,299.3880597014925,17.94589552238806,61.62313432835822,-2.2388059701492535,-4.664179104477612,-2.985074626865672,513.0503731343284,906.7462686567164,30152.4776119403,5.850746268656716,21.917910447761194,7.71659667753404,-1.232644869476883
19,FaZe Alex Ich,124,29.34341397849462,54.03%,6.282258064516129,4.838709677419355,7.459677419354839,0.8306451612903226,0.16129032258064516,0.5161290322580645,1.4193548387096775,24.427419354838708,147214.40322580645,0.04%,207.91935483870967,0.09%,12538.475806451614,20863.129032258064,1817.8951612903227,524.6969086021506,321.3373655913978,8.064516129032258,18.14516129032258,0.8064516129032258,154.83870967741936,9692.691532258064,142.1290322580645,-14.698252688172031,69.92607526881721,2.0161290322580645,6.25,0.8064516129032258,311.4495967741935,513.0403225806451,3458.935483870968,-2.7419354838709675,7.911290322580645,7.128176939202634,-1.4129566781433136
